instance,severity,method,cpu_mean,cpu_sd,episodes
j15c5b1,stationary,HBQ,174.11,23.71,50
j15c5b1,stationary,LeastUtilised,173.79,18.02,50
j15c5b1,stationary,Random,171.55,17.72,50
j15c5b1,stationary,RoundRobin,170.72,20.58,50
j15c5b1,stationary,ShortestQueue,173.79,18.02,50
j15c5b1,stationary,VanillaTS,173.7,21.61,50
j15c5c1,A070,CostMinimising,500.45,95.44,50
j15c5c1,A070,HBQ,204.94,24.55,50
j15c5c1,A070,LeastUtilised,213.03,31.58,50
j15c5c1,A070,Random,203.05,24.73,50
j15c5c1,A070,RoundRobin,214.54,26.69,50
j15c5c1,A070,ShortestQueue,215.91,37.83,50
j15c5c1,A070,VanillaTS,206.35,23.01,50
j15c5c1,A090,CostMinimising,309.68,40.98,50
j15c5c1,A090,HBQ,138.58,12.77,50
j15c5c1,A090,LeastUtilised,142.77,12.02,50
j15c5c1,A090,Random,145.46,15.9,50
j15c5c1,A090,RoundRobin,150.67,13.53,50
j15c5c1,A090,ShortestQueue,143.96,12.73,50
j15c5c1,A090,VanillaTS,144.44,13.82,50
j15c5c1,stationary,CostMinimising,245.08,18.9,50
j15c5c1,stationary,HBQ,120.52,7.96,50
j15c5c1,stationary,LeastUtilised,129.79,10.4,50
j15c5c1,stationary,Random,123.93,8.48,50
j15c5c1,stationary,RoundRobin,129.82,8.79,50
j15c5c1,stationary,ShortestQueue,125.16,9.25,50
j15c5c1,stationary,VanillaTS,125.42,9.34,50
j15c5d1,A070,CostMinimising,354.13,70.52,50
j15c5d1,A070,HBQ,259.93,53.36,50
j15c5d1,A070,LeastUtilised,264.22,51.25,50
j15c5d1,A070,Random,267.32,55.67,50
j15c5d1,A070,RoundRobin,262.99,59.89,50
j15c5d1,A070,ShortestQueue,263.69,50.6,50
j15c5d1,A070,VanillaTS,262.09,46.64,50
j15c5d1,A090,CostMinimising,225.24,29.1,50
j15c5d1,A090,HBQ,192.83,30.63,50
j15c5d1,A090,LeastUtilised,191.52,21.2,50
j15c5d1,A090,Random,187.48,24.99,50
j15c5d1,A090,RoundRobin,194.1,23.12,50
j15c5d1,A090,ShortestQueue,192.99,21.26,50
j15c5d1,A090,VanillaTS,196.89,22.74,50
j15c5d1,stationary,CostMinimising,187.09,22.94,50
j15c5d1,stationary,HBQ,170.92,21.57,50
j15c5d1,stationary,LeastUtilised,174.67,20.02,50
j15c5d1,stationary,Random,170.36,20.47,50
j15c5d1,stationary,RoundRobin,168.16,20.24,50
j15c5d1,stationary,ShortestQueue,175.33,19.38,50
j15c5d1,stationary,VanillaTS,170.22,16.75,50
